period,trailing_eps,book_value_per_share,pe,pb,ps,dividend_yield,beta,ev_ebit,ev_ebitda
2026-Q1,6010,23553,12.43,3.17,10.2,0.03,0.69,45.76,40.23
2025-Q4,6017,25682,15.92,3.73,8.07,0.02,0.64,48.85,29.69
2025-Q3,5988,25141,15.53,3.7,9.21,0.02,0.88,48.55,29.68
2025-Q2,5862,26918,20.16,4.39,10.53,0.02,1,57.98,35.53
2025-Q1,5772,25759,20.96,4.7,11.08,0.02,0.96,61.81,51.39
2024-Q4,5697,24332,26.77,6.27,12.74,0.01,0.96,76.23,45.82
2024-Q3,5652,24213,23.8,5.55,12.35,0.01,0.81,68.75,41.73
2024-Q2,5618,22446,23.23,5.81,12.5,0.02,0.8,73.04,45.03
2024-Q1,5541,24980,21.02,4.66,10.5,0.02,0.76,61.02,49.57
2023-Q4,5476,23580,17.55,4.08,8.31,0.02,0.77,50.26,30.78
2023-Q3,5362,22365,17.31,4.15,8.56,0.02,0.75,49.94,30.55
2023-Q2,5289,25891,16.26,3.32,7.61,0.01,0.74,46.38,26.32
2023-Q1,5258,24665,15.04,3.21,7.43,0.03,0.78,44.22,36.1
2022-Q4,4805,23099,14.68,3.33,6.47,0.03,0.87,44.1,25
2022-Q3,5456,21926,14.76,3.67,7.92,0.02,0.95,48.79,29.5
2022-Q2,5385,21339,16.01,4.04,9.37,0.02,0.97,56.55,33.91
2022-Q1,5271,25295,20.3,4.23,9.98,0.02,0.98,61.7,50.43
2021-Q4,5059,23601,18.38,3.94,7.88,0.02,0.92,54.02,32.38
2021-Q3,4873,22393,19.09,4.15,9.67,0.02,0.93,54.99,45.87
2021-Q2,4820,22100,18.26,3.98,9.24,0.02,0.95,55.31,45.77
2021-Q1,4798,25166,16.19,3.09,8.03,0.03,0.95,48.26,38.36
2020-Q4,4743,23727,12.46,2.49,5.35,0.03,0.84,31.14,28.78
2020-Q3,4612,23190,10.84,2.16,5.19,0.04,0.86,27.6,22.94
2020-Q2,4839,22833,9.43,2,5.13,0.04,0.84,26.79,21.94
2020-Q1,4870,25989,8.44,1.58,4.14,0.05,0.81,27.28,21.12
2019-Q4,4797,24875,12.15,2.34,4.69,0.03,0.86,34.4,30.44
2019-Q3,4971,23955,11.61,2.41,5.17,0.03,0.82,30.33,25.2
2019-Q2,4727,23298,9.63,1.95,4.13,0.04,0.84,22.88,19.13
2019-Q1,4561,25312,9.98,1.8,4.8,0.05,0.85,27.5,21.02
2018-Q4,4509,24057,9.36,1.75,3.52,0.06,0.85,21.4,17.36
2018-Q3,5818,23082,7.96,2.01,4.28,0.05,0.83,24.82,23.7
2018-Q2,5788,22627,7.17,1.83,4.06,0.06,0.84,25.33,21.36
2018-Q1,5890,26178,10.31,2.32,6.55,0.03,0.86,41.87,31.45
2017-Q4,5895,24925,9.69,2.29,2.27,0.04,0.76,15.67,14.43
2017-Q3,4537,24546,10.75,1.99,2.15,0.04,0.82,26.91,21.8
2017-Q2,4475,26314,10.47,1.78,2.16,0.04,0.66,29.48,17.06
2017-Q1,3734,26076,12.67,1.81,2.23,0.04,0.63,32.51,24.66
2016-Q4,3704,24917,11.88,1.77,1.52,0.05,0.6,19.74,16.12
2016-Q3,3852,23857,12.11,1.96,2.05,0.04,0.62,25.98,20.11
2016-Q2,3815,23742,10.96,1.76,1.93,0.05,0.69,26.18,20.8
2016-Q1,4840,26766,9.73,1.76,2.21,0.04,0.84,37.3,28.03
2015-Q4,5213,25597,9.26,1.89,1.78,0.04,0.96,24.64,19.67
2015-Q3,4827,25078,9.22,1.77,1.73,0.04,0.97,33.01,27.94
2015-Q2,5001,24958,9.28,1.86,1.41,0.04,1.12,28.16,23.61
2015-Q1,5145,24357,9.41,1.99,1.13,0.05,1.16,30.65,24.78
2014-Q4,5241,22988,9.16,2.09,1.02,0.05,1.17,28.24,18.74
2014-Q3,5647,22170,9.21,2.35,1.19,0.05,1.27,31.38,27.25
2014-Q2,5800,22051,8.03,2.11,1.28,0.06,1.13,27.25,23.43
2014-Q1,5910,27512,11.84,2.54,1.77,0.02,0.99,23.05,20.36
2013-Q4,5858,26188,8.04,1.8,1.15,0.03,0.73,22.18,13.64
2013-Q3,5774,25077,7.81,1.8,1.03,0.06,0.67,25.02,21.37
2013-Q2,5853,25389,7.14,1.65,1.23,0.05,0.47,19.01,18.56
2013-Q1,6054,23831,6.24,1.59,1.2,0.08,0.5,20.15,17.14
2012-Q4,6318,22563,5.57,1.56,0.91,0.09,0.45,15.35,12.14
2012-Q3,6795,22457,5.58,1.69,0.94,0.05,0.42,20.23,20.18
2012-Q2,8224,22226,5.73,2.12,1.12,0.04,0.46,22.31,18.3
2012-Q1,8464,27100,6.85,2.14,1.37,0.03,0.51,24.1,20.71
