source,url,title,short_description,text,publish_time,crawl_time_utc,text_len
vnexpress,https://vnexpress.net/ve-xem-chung-ket-world-cup-dat-nhat-lich-su-the-thao-my-5098408.html,Vé xem chung kết World Cup đắt nhất lịch sử thể thao Mỹ,"Giá trung bình một vé xem chung kết World Cup khoảng 11.300 USD, cao nhất lịch sử thể thao Mỹ.","Vé xem chung kết World Cup đắt nhất lịch sử thể thao Mỹ Giá trung bình một vé xem chung kết World Cup khoảng 11.300 USD, cao nhất lịch sử thể thao Mỹ.",2026-07-17 11:21:10+07:00,2026-07-17T04:33:04.628143+00:00,150
vnexpress,https://vnexpress.net/thu-hoi-toan-quoc-5-my-pham-cua-kencare-viet-nam-5098458.html,Thu hồi toàn quốc 5 mỹ phẩm của Kencare Việt Nam,"Cục Quản lý Dược (Bộ Y tế) vừa yêu cầu đình chỉ lưu hành, thu hồi và tiêu hủy 5 sản phẩm mỹ phẩm do Công ty TNHH Kencare Việt Nam đưa ra thị trường, do hồ sơ thông tin sản phẩm không đầy đủ theo quy định.","Thu hồi toàn quốc 5 mỹ phẩm của Kencare Việt Nam Cục Quản lý Dược (Bộ Y tế) vừa yêu cầu đình chỉ lưu hành, thu hồi và tiêu hủy 5 sản phẩm mỹ phẩm do Công ty TNHH Kencare Việt Nam đưa ra thị trường, do hồ sơ thông tin sản phẩm không đầy đủ theo quy định.",2026-07-17 11:18:13+07:00,2026-07-17T04:33:04.628143+00:00,253
vnexpress,https://vnexpress.net/chin-nguoi-cam-dau-duong-day-ca-do-world-cup-hon-200-ty-dong-bi-bat-5098500.html,Chín người cầm đầu đường dây cá độ World Cup hơn 200 tỷ đồng bị bắt,"Các tổ cảnh sát hình sự đồng loạt ập vào 9 điểm bắt Châu Chí Phước cùng đồng phạm, về hành vi tổ chức cá độ bóng đá mùa World Cup 2026.","Chín người cầm đầu đường dây cá độ World Cup hơn 200 tỷ đồng bị bắt Các tổ cảnh sát hình sự đồng loạt ập vào 9 điểm bắt Châu Chí Phước cùng đồng phạm, về hành vi tổ chức cá độ bóng đá mùa World Cup 2026.",2026-07-17 11:16:47+07:00,2026-07-17T04:33:04.628143+00:00,203
vnexpress,https://vnexpress.net/chinh-sach-cua-vincons-thu-hut-nha-thau-phu-5098236.html,Chính sách của VinCons thu hút nhà thầu phụ,"Nguồn việc ổn định, chế độ phúc lợi và lộ trình phát triển rõ ràng giúp VinCons thu hút nhiều nhà thầu phụ, tổ đội xây dựng gia nhập.","Chính sách của VinCons thu hút nhà thầu phụ Nguồn việc ổn định, chế độ phúc lợi và lộ trình phát triển rõ ràng giúp VinCons thu hút nhiều nhà thầu phụ, tổ đội xây dựng gia nhập.",2026-07-17 11:15:00+07:00,2026-07-17T04:33:04.628143+00:00,177
vnexpress,https://vnexpress.net/fifa-lan-dau-trao-nhan-cho-nha-vo-dich-world-cup-5098503.html,FIFA lần đầu trao nhẫn cho nhà vô địch World Cup,"Ngoài Cup vàng và huy chương, nhà vô địch World Cup 2026 sẽ lần đầu được trao nhẫn vô địch - biểu tượng quen thuộc trong thể thao Mỹ.","FIFA lần đầu trao nhẫn cho nhà vô địch World Cup Ngoài Cup vàng và huy chương, nhà vô địch World Cup 2026 sẽ lần đầu được trao nhẫn vô địch - biểu tượng quen thuộc trong thể thao Mỹ.",2026-07-17 11:11:42+07:00,2026-07-17T04:33:04.628143+00:00,182
vnexpress,https://vnexpress.net/khoi-chay-rung-nang-nong-de-doa-suc-khoe-cau-thu-truoc-chung-ket-world-cup-5098470.html,"Khói cháy rừng, nắng nóng đe dọa sức khỏe cầu thủ trước chung kết World Cup",Trận tranh ngôi vô địch World Cup 2026 giữa Tây Ban Nha và Argentina tại New Jersey nguy cơ bị ảnh hưởng bởi ô nhiễm không khí nghiêm trọng và nắng nóng cực đoan.,"Khói cháy rừng, nắng nóng đe dọa sức khỏe cầu thủ trước chung kết World Cup Trận tranh ngôi vô địch World Cup 2026 giữa Tây Ban Nha và Argentina tại New Jersey nguy cơ bị ảnh hưởng bởi ô nhiễm không khí nghiêm trọng và nắng nóng cực đoan.",2026-07-17 11:08:37+07:00,2026-07-17T04:33:04.628143+00:00,238
vnexpress,https://vnexpress.net/hong-nhung-cuoc-doi-can-nhat-hy-vong-5097672.html,Hồng Nhung: 'Cuộc đời cần nhất hy vọng',"Hồng Nhung nói trải qua biến cố mắc ung thư vú, chị yêu cuộc sống hơn, mong chia sẻ sự lạc quan cho người cùng cảnh ngộ.","Hồng Nhung: 'Cuộc đời cần nhất hy vọng' Hồng Nhung nói trải qua biến cố mắc ung thư vú, chị yêu cuộc sống hơn, mong chia sẻ sự lạc quan cho người cùng cảnh ngộ.",2026-07-17 11:07:33+07:00,2026-07-17T04:33:04.628143+00:00,160
vnexpress,https://vnexpress.net/lai-suat-vay-mua-nha-tai-my-cao-nhat-gan-mot-nam-5098448.html,Lãi suất vay mua nhà tại Mỹ cao nhất gần một năm,"Căng thẳng địa chính trị đang lan ra khắp thị trường nhà ở tại Mỹ, khiến người mua nhà càng gặp khó khăn tài chính.","Lãi suất vay mua nhà tại Mỹ cao nhất gần một năm Căng thẳng địa chính trị đang lan ra khắp thị trường nhà ở tại Mỹ, khiến người mua nhà càng gặp khó khăn tài chính.",2026-07-17 11:05:47+07:00,2026-07-17T04:33:04.628143+00:00,183
vnexpress,https://vnexpress.net/chiec-but-cuu-mang-hai-phi-hanh-gia-my-duoc-dau-gia-gan-900-000-usd-5098494.html,Chiếc bút cứu mạng hai phi hành gia Mỹ được đấu giá gần 900.000 USD,Chiếc bút dạ giúp phi hành gia Neil Armstrong và Buzz Aldrin rời khỏi Mặt Trăng trong nhiệm vụ Apollo 11 đạt giá bán hơn 850.000 USD trong buổi đấu giá tại New York hôm 15/7.,Chiếc bút cứu mạng hai phi hành gia Mỹ được đấu giá gần 900.000 USD Chiếc bút dạ giúp phi hành gia Neil Armstrong và Buzz Aldrin rời khỏi Mặt Trăng trong nhiệm vụ Apollo 11 đạt giá bán hơn 850.000 USD trong buổi đấu giá tại New York hôm 15/7.,2026-07-17 11:05:19+07:00,2026-07-17T04:33:04.628143+00:00,242
vnexpress,https://vnexpress.net/anh-ve-tinh-tran-dia-patriot-my-bi-uav-iran-nham-muc-tieu-5098385.html,Ảnh vệ tinh 'trận địa Patriot Mỹ' bị UAV Iran nhắm mục tiêu,"Ảnh mới công bố cho thấy UAV dường như đã tập kích và gây cháy ở trận địa Patriot của Mỹ tại Iraq, chưa rõ thiệt hại cụ thể.","Ảnh vệ tinh 'trận địa Patriot Mỹ' bị UAV Iran nhắm mục tiêu Ảnh mới công bố cho thấy UAV dường như đã tập kích và gây cháy ở trận địa Patriot của Mỹ tại Iraq, chưa rõ thiệt hại cụ thể.",2026-07-17 11:02:07+07:00,2026-07-17T04:33:04.628143+00:00,184
vietstock,http://vietstock.vn/2026/07/gan-ket-fdi-voi-thi-truong-von-luc-day-de-viet-nam-vuot-bay-gia-cong-761-1466791.htm,"Gắn kết FDI với thị trường vốn: Lực đẩy để Việt Nam vượt ""bẫy gia công""","Định hướng đưa Việt Nam vươn lên thành ""trung tâm huy động và phân bổ vốn của khu vực"" đang đặt ra yêu cầu bức thiết về việc làm mới dòng vốn FDI. Không chỉ dừng lại ở việc thu hút các dự án xây dựng nhà máy, bài toán cốt lõi hiện nay là phải gắn kết khối ngoại với thị trường vốn nội địa để tạo bứt phá về công nghệ và nhân lực.","Gắn kết FDI với thị trường vốn: Lực đẩy để Việt Nam vượt ""bẫy gia công"" Định hướng đưa Việt Nam vươn lên thành ""trung tâm huy động và phân bổ vốn của khu vực"" đang đặt ra yêu cầu bức thiết về việc làm mới dòng vốn FDI. Không chỉ dừng lại ở việc thu hút các dự án xây dựng nhà máy, bài toán cốt lõi hiện nay là phải gắn kết khối ngoại với thị trường vốn nội địa để tạo bứt phá về công nghệ và nhân lực.",2026-07-17 09:19:22+07:00,2026-07-17T04:33:28.091370+00:00,401
vietstock,http://vietstock.vn/2026/07/viet-nam-thuoc-nhom-5-quoc-gia-dan-dat-chu-ky-tang-truong-kinh-te-moi-cua-asean-761-1466328.htm,Việt Nam thuộc nhóm 5 quốc gia dẫn dắt chu kỳ tăng trưởng kinh tế mới của ASEAN,"Theo chuyên gia, sự kết hợp giữa quy mô nhân khẩu học, chiều sâu công nghiệp, các vùng đệm bên ngoài và kỷ luật chính sách của 5 nền kinh tế này đang định hình lại sự phát triển của ASEAN.","Việt Nam thuộc nhóm 5 quốc gia dẫn dắt chu kỳ tăng trưởng kinh tế mới của ASEAN Theo chuyên gia, sự kết hợp giữa quy mô nhân khẩu học, chiều sâu công nghiệp, các vùng đệm bên ngoài và kỷ luật chính sách của 5 nền kinh tế này đang định hình lại sự phát triển của ASEAN.",2026-07-15 08:39:08+07:00,2026-07-17T04:33:28.091370+00:00,268
vietstock,http://vietstock.vn/2026/07/khong-cap-von-de-bu-lo-khong-tao-no-xau-moi-khong-hop-thuc-hoa-sai-pham-cu-761-1466322.htm,"Không cấp vốn để bù lỗ, không tạo nợ xấu mới, không hợp thức hóa sai phạm cũ","Chiều 14/7, Tổng Bí thư, Chủ tịch nước Tô Lâm chủ trì buổi làm việc với các cơ quan về phát triển công nghiệp hàng hải quốc gia.","Không cấp vốn để bù lỗ, không tạo nợ xấu mới, không hợp thức hóa sai phạm cũ Chiều 14/7, Tổng Bí thư, Chủ tịch nước Tô Lâm chủ trì buổi làm việc với các cơ quan về phát triển công nghiệp hàng hải quốc gia.",2026-07-15 08:29:00+07:00,2026-07-17T04:33:28.091370+00:00,205
vietstock,http://vietstock.vn/2026/07/trung-tuong-dinh-van-noi-lam-pho-bi-thu-tinh-uy-an-giang-761-1466310.htm,Trung tướng Đinh Văn Nơi làm Phó Bí thư Tỉnh ủy An Giang,"Ban Bí thư điều động Trung tướng Đinh Văn Nơi về An Giang, đồng thời phân công ông kiêm Bí thư Đảng ủy đặc khu Phú Quốc.","Trung tướng Đinh Văn Nơi làm Phó Bí thư Tỉnh ủy An Giang Ban Bí thư điều động Trung tướng Đinh Văn Nơi về An Giang, đồng thời phân công ông kiêm Bí thư Đảng ủy đặc khu Phú Quốc.",2026-07-15 07:17:00+07:00,2026-07-17T04:33:28.091370+00:00,177
vietstock,http://vietstock.vn/2026/07/bo-tai-chinh-trien-khai-cac-nhom-giai-phap-thuc-day-muc-tieu-tang-truong-ca-nam-761-1465991.htm,Bộ Tài chính triển khai các nhóm giải pháp thúc đẩy mục tiêu tăng trưởng cả năm,"Bộ Tài chính nhấn mạnh để thúc đẩy tăng trưởng, các Bộ, ngành và địa phương cần tập trung phối hợp chặt chẽ giữa chính sách tài khóa và tiền tệ nhằm khơi thông dòng vốn cho doanh nghiệp.","Bộ Tài chính triển khai các nhóm giải pháp thúc đẩy mục tiêu tăng trưởng cả năm Bộ Tài chính nhấn mạnh để thúc đẩy tăng trưởng, các Bộ, ngành và địa phương cần tập trung phối hợp chặt chẽ giữa chính sách tài khóa và tiền tệ nhằm khơi thông dòng vốn cho doanh nghiệp.",2026-07-14 10:41:00+07:00,2026-07-17T04:33:28.091370+00:00,266
vietstock,http://vietstock.vn/2026/07/wb-chat-luong-tang-truong-se-quyet-dinh-con-duong-viet-nam-tro-thanh-quoc-gia-thu-nhap-cao-761-1465606.htm,WB: Chất lượng tăng trưởng sẽ quyết định con đường Việt Nam trở thành quốc gia thu nhập cao,"Việt Nam chính thức bước vào nhóm thu nhập trung bình cao sau 17 năm, nhưng đây mới là điểm khởi đầu của một chặng đường khó hơn. Theo bà Mariam J. Sherman, Giám đốc Ngân hàng Thế giới tại Việt Nam, Campuchia và Lào, để tiến tới mục tiêu thu nhập cao vào năm 2045, Việt Nam phải chuyển từ tăng trưởng dựa nhiều vào vốn và xuất khẩu sang nâng cao năng suất, năng lực doanh nghiệp trong nước và chất lượng thể chế.","WB: Chất lượng tăng trưởng sẽ quyết định con đường Việt Nam trở thành quốc gia thu nhập cao Việt Nam chính thức bước vào nhóm thu nhập trung bình cao sau 17 năm, nhưng đây mới là điểm khởi đầu của một chặng đường khó hơn. Theo bà Mariam J. Sherman, Giám đốc Ngân hàng Thế giới tại Việt Nam, Campuchia và Lào, để tiến tới mục tiêu thu nhập cao vào năm 2045, Việt Nam phải chuyển từ tăng trưởng dựa nhiều vào vốn và xuất khẩu sang nâng cao năng suất, năng lực doanh nghiệp trong nước và chất lượng thể chế.",2026-07-13 15:28:00+07:00,2026-07-17T04:33:28.091370+00:00,504
vietstock,http://vietstock.vn/2026/07/ket-noi-vneid-voi-he-thong-dinh-danh-dien-tu-cua-singapore-cac-nuoc-asean-761-1465595.htm,"Kết nối VNeID với hệ thống định danh điện tử của Singapore, các nước ASEAN","Tổng Bí thư, Chủ tịch nước Tô Lâm giao nhiệm vụ khẩn trương thúc đẩy kết nối VNeID với hệ thống định danh điện tử của Singapore và các nước ASEAN.","Kết nối VNeID với hệ thống định danh điện tử của Singapore, các nước ASEAN Tổng Bí thư, Chủ tịch nước Tô Lâm giao nhiệm vụ khẩn trương thúc đẩy kết nối VNeID với hệ thống định danh điện tử của Singapore và các nước ASEAN.",2026-07-13 13:58:48+07:00,2026-07-17T04:33:28.091370+00:00,221
vietstock,http://vietstock.vn/2026/07/phan-dau-giai-ngan-het-von-4-chuong-trinh-muc-tieu-quoc-gia-761-1465412.htm,Phấn đấu giải ngân hết vốn 4 chương trình mục tiêu quốc gia,"Bốn chương trình đang được triển khai gồm chương trình xây dựng nông thôn mới, giảm nghèo bền vững và phát triển kinh tế - xã hội vùng đồng bào dân tộc thiểu số, miền núi; chương trình nâng cao chất lượng giáo dục; chương trình phát triển văn hóa; chương trình chăm sóc sức khỏe, dân số và phát triển.","Phấn đấu giải ngân hết vốn 4 chương trình mục tiêu quốc gia Bốn chương trình đang được triển khai gồm chương trình xây dựng nông thôn mới, giảm nghèo bền vững và phát triển kinh tế - xã hội vùng đồng bào dân tộc thiểu số, miền núi; chương trình nâng cao chất lượng giáo dục; chương trình phát triển văn hóa; chương trình chăm sóc sức khỏe, dân số và phát triển.",2026-07-12 23:02:00+07:00,2026-07-17T04:33:28.091370+00:00,361
vietstock,http://vietstock.vn/2026/07/pho-thu-tuong-pham-thi-thanh-tra-lam-truong-ban-chi-dao-an-toan-thuc-pham-761-1465409.htm,Phó Thủ tướng Phạm Thị Thanh Trà làm Trưởng Ban Chỉ đạo an toàn thực phẩm,"Quyết định có hiệu lực từ 11/07, đồng thời kiện toàn ba Phó Trưởng Ban và 12 ủy viên đại diện các bộ, cơ quan, tổ chức.","Phó Thủ tướng Phạm Thị Thanh Trà làm Trưởng Ban Chỉ đạo an toàn thực phẩm Quyết định có hiệu lực từ 11/07, đồng thời kiện toàn ba Phó Trưởng Ban và 12 ủy viên đại diện các bộ, cơ quan, tổ chức.",2026-07-12 21:02:00+07:00,2026-07-17T04:33:28.091370+00:00,193
vietstock,http://vietstock.vn/2026/07/vifc-hcmc-cong-bo-thanh-lap-va-ra-mat-to-tu-van-trung-tam-tai-chinh-quoc-te-viet-nam-tai-tphcm-761-1465398.htm,VIFC-HCMC công bố thành lập và ra mắt Tổ Tư vấn Trung tâm Tài chính Quốc tế Việt Nam tại TPHCM,"Ngày 12/07/2026, Cơ quan Điều hành Trung tâm Tài chính Quốc tế Việt Nam tại TPHCM (VIFC-HCMC) tổ chức Lễ công bố thành lập và ra mắt Tổ Tư vấn VIFC-HCMC.","VIFC-HCMC công bố thành lập và ra mắt Tổ Tư vấn Trung tâm Tài chính Quốc tế Việt Nam tại TPHCM Ngày 12/07/2026, Cơ quan Điều hành Trung tâm Tài chính Quốc tế Việt Nam tại TPHCM (VIFC-HCMC) tổ chức Lễ công bố thành lập và ra mắt Tổ Tư vấn VIFC-HCMC.",2026-07-12 16:13:18+07:00,2026-07-17T04:33:28.091370+00:00,248
