symbol,sector,action,action_rank,confidence,score_3m,score_1y,composite,technical_score,flow_score,fundamental_quality_score,valuation_score,insight_score,risk_penalty,current_price,entry_price_low,entry_price_high,stop_loss,base_target,bull_target,bear_target,expected_return,risk_reward,prob_bear,prob_base,prob_bull,suggested_quantity,suggested_position_value,buy_strategy,reason,errors_count
HDB,bank,WATCHLIST,1,0.73088,73.632,72.27199999999999,73.088,100.0,54.0,72.92,67.48,65.0,0.0,27150.0,26878.5,27421.5,26130.463565754395,35012.08373333334,37329.04338647041,26017.181739727108,0.2761564732966282,7.711429890341098,0.16465434473669038,0.3534148590639675,0.4819307961993421,5524,149976600.0,PULLBACK_TO_MA20,"Heuristic decision from composite=73.1, R/R=7.71, expected_return=27.62%, setup=PULLBACK_TO_MA20.",0
LPB,bank,HOLD_MONITOR,2,0.6753500000000001,69.09200000000001,65.1995,67.53500000000001,87.0,68.0,72.845,43.230000000000004,55.0,0.0,52000.0,51480.0,52520.0,50891.049999999996,34818.997899999995,60725.446177402744,29596.148214999994,-0.11390873152411951,-15.49303584471792,0.18700166188168113,0.3407441139732573,0.4722542241450616,2884,149968000.0,wait,"Heuristic decision from composite=67.5, R/R=-15.49, expected_return=-11.39%, setup=PULLBACK_TO_MA20.",0
KLB,bank,HOLD_MONITOR,2,0.67511,66.42399999999999,69.14150000000001,67.511,79.0,48.0,72.065,82.11000000000001,55.0,0.0,12400.0,12276.0,12524.0,12128.395,31316.280274999997,33195.257091499996,11582.016404304051,1.2957226782695597,69.64628882016173,0.18710759261490745,0.3641846143925817,0.44870779299251085,12096,149990400.0,wait,"Heuristic decision from composite=67.5, R/R=69.65, expected_return=129.57%, setup=PULLBACK_TO_MA20.",0
ACB,bank,HOLD_MONITOR,2,0.6652,66.324,66.814,66.52,100.0,24.0,61.339999999999996,67.56,75.0,0.0,23750.0,23512.5,23987.5,22831.49825265975,28132.246766666663,29820.181572666665,22729.442502955277,0.17209737423599125,4.771081578621425,0.19154725137119005,0.3700719680333134,0.43838078059549657,6315,149981250.0,wait,"Heuristic decision from composite=66.5, R/R=4.77, expected_return=17.21%, setup=BREAKOUT_55D.",0
STB,bank,HOLD_MONITOR,2,0.66318,69.356,61.761,66.318,100.0,68.0,50.51,41.53999999999999,65.0,0.0,71800.0,71082.0,72518.0,69495.65,28098.82075,80707.77175080785,23883.997637499997,-0.27717276166097204,-18.964644802221837,0.19246763759594898,0.33971478494062723,0.4678175774634238,2089,149990200.0,wait,"Heuristic decision from composite=66.3, R/R=-18.96, expected_return=-27.72%, setup=PULLBACK_TO_MA20.",0
ABB,bank,HOLD_MONITOR,2,0.66149,66.69200000000001,65.33449999999999,66.149,92.0,50.0,62.495,65.93,50.0,0.0,17700.0,17523.0,17877.0,16745.940838828337,19572.208824999998,20746.541354499997,16636.377501249997,0.10384549309196411,1.962361351575695,0.19324159003704455,0.35272933181351873,0.4540290781494367,7861,139139700.0,wait,"Heuristic decision from composite=66.1, R/R=1.96, expected_return=10.38%, setup=UPTREND_CONTINUATION.",0
SSB,bank,HOLD_MONITOR,2,0.6482600000000001,65.188,64.28300000000002,64.82600000000001,95.0,38.0,56.93,67.02000000000001,60.0,0.0,16000.0,15840.0,16160.0,15425.425,17764.018816666667,18829.859945666667,15099.415994166666,0.10610264362139854,3.0701280366647774,0.19942018121239952,0.3643055501881087,0.4362742685994918,9375,150000000.0,wait,"Heuristic decision from composite=64.8, R/R=3.07, expected_return=10.61%, setup=PULLBACK_TO_MA20.",0
MSB,bank,HOLD_MONITOR,2,0.64532,65.16,63.589999999999996,64.532,95.0,42.0,56.3,65.0,55.0,0.0,16350.000000000002,16186.500000000002,16513.500000000004,15749.926961464103,16679.65133333333,17850.18259633975,14177.70363333333,0.020868165641733327,0.5493520157773407,0.20082100721439466,0.3600733932473127,0.43910559953829265,9174,149994900.00000003,wait,"Heuristic decision from composite=64.5, R/R=0.55, expected_return=2.09%, setup=PULLBACK_TO_MA20.",0
FOX,technology,HOLD_MONITOR,2,0.6332088,61.8292,65.5584,63.32088,58.0,58.0,75.0,78.292,50.0,0.0,67000.0,66330.0,67670.0,65660.0,77165.368,81795.29008,63518.1070902601,0.13832749115304033,7.586095522388061,0.2066913139949429,0.377892580963469,0.4154161050415881,2238,149946000.0,wait,"Heuristic decision from composite=63.3, R/R=7.59, expected_return=13.83%, setup=NO_CLEAR_SETUP.",0
NAB,bank,HOLD_MONITOR,2,0.6232,63.0,61.300000000000004,62.32,87.0,48.0,50.0,68.0,55.0,0.0,13050.0,12919.5,13180.5,12658.5,14222.9637,15076.341522,12089.519145,0.08259053923548443,2.9960758620689663,0.21165531435984952,0.37071288669599556,0.4176317989441549,11494,149996700.0,wait,"Heuristic decision from composite=62.3, R/R=3.00, expected_return=8.26%, setup=PULLBACK_TO_MA20.",0
MBB,bank,HOLD_MONITOR,2,0.6075800000000001,59.876000000000005,62.08100000000001,60.75800000000001,58.0,56.0,66.71000000000001,69.34,60.0,0.0,24150.0,23908.5,24391.5,23570.515,32750.017533333335,34715.01858533334,23275.22635976301,0.30150826286667454,14.840794038384646,0.2195811613272145,0.39268741056652123,0.3877314281062642,6211,149995650.0,wait,"Heuristic decision from composite=60.8, R/R=14.84, expected_return=30.15%, setup=NO_CLEAR_SETUP.",0
FPT,technology,HOLD_MONITOR,2,0.6043751999999999,57.82679999999999,64.3536,60.43751999999999,57.0,30.0,75.0,77.268,70.0,0.0,68000.0,67320.0,68680.0,66640.0,76786.76499999998,81393.97089999999,64616.016264292106,0.11332930107431016,6.460856617647048,0.22123117102442613,0.428843841230223,0.34992498774535086,2205,149940000.0,wait,"Heuristic decision from composite=60.4, R/R=6.46, expected_return=11.33%, setup=NO_CLEAR_SETUP.",0
BAB,bank,HOLD_MONITOR,2,0.60244,60.952,59.182,60.244,79.0,54.0,49.22,66.08,50.0,0.0,11200.0,11088.0,11312.0,10976.0,10154.544000000002,13156.120106775732,8631.362400000002,-0.01631084217374179,-4.667214285714278,0.22223106004762555,0.377554923537669,0.40021401641470544,13392,149990400.0,wait,"Heuristic decision from composite=60.2, R/R=-4.67, expected_return=-1.63%, setup=UPTREND_CONTINUATION.",0
CTR,technology,HOLD_MONITOR,2,0.60194,57.910000000000004,63.620000000000005,60.194,57.0,38.0,75.0,77.10000000000001,55.0,0.0,70000.0,69300.0,70700.0,68600.0,80467.8,85295.868,66389.0457445047,0.1298624891468625,7.477000000000002,0.2224898225289343,0.41402031444220927,0.36348986302885644,2142,149940000.0,wait,"Heuristic decision from composite=60.2, R/R=7.48, expected_return=12.99%, setup=NO_CLEAR_SETUP.",0
VGI,technology,HOLD_MONITOR,2,0.5971160000000001,58.394,61.688,59.711600000000004,58.0,48.0,75.0,63.94,50.0,0.0,81700.0,80883.0,82517.0,80066.0,94970.77199999998,100669.01831999999,76875.92320485867,0.1391757676243992,8.121647490820063,0.2249948506172699,0.39398686856570797,0.38101828081702216,1835,149919500.0,wait,"Heuristic decision from composite=59.7, R/R=8.12, expected_return=13.92%, setup=NO_CLEAR_SETUP.",0
BVB,bank,HOLD_MONITOR,2,0.58752,60.028000000000006,56.837999999999994,58.752,86.0,48.0,44.18,57.919999999999995,50.0,0.0,13300.0,13167.0,13433.0,13034.0,9558.4,15097.066880390437,8124.639999999999,-0.14375718401968218,-14.066165413533836,0.23001944735461782,0.3800993444032354,0.3898812082421468,11278,149997400.0,wait,"Heuristic decision from composite=58.8, R/R=-14.07, expected_return=-14.38%, setup=PULLBACK_TO_MA20.",0
SHB,bank,HOLD_MONITOR,2,0.58112,58.28,57.86,58.111999999999995,50.0,74.0,50.0,69.8,65.0,0.0,12700.0,12573.0,12827.0,12446.0,13911.512670000002,14746.203430200003,11824.785769500002,0.08066735702066952,4.76973492125985,0.23339687984150356,0.40719059743133545,0.35941252272716095,11811,149999700.0,wait,"Heuristic decision from composite=58.1, R/R=4.77, expected_return=8.07%, setup=NO_CLEAR_SETUP.",0
TCB,bank,HOLD_MONITOR,2,0.58085,57.14,59.502500000000005,58.085,71.0,30.0,58.775,65.85,65.0,0.0,31900.0,31581.0,32219.0,31262.0,34796.56166666667,36884.35536666667,29577.077416666667,0.0749691500220162,4.540065308254966,0.23353976578205976,0.4245148838302058,0.34194535038773444,4702,149993800.0,wait,"Heuristic decision from composite=58.1, R/R=4.54, expected_return=7.50%, setup=NO_CLEAR_SETUP.",0
